ID;Name;Sex;PeoplesCount
20120;Аглея;ЖЕН.;4
20121;Агликерия;ЖЕН.;1
20122;Аглина;ЖЕН.;7
20123;Аглиулла;ЖЕН.;2
20124;Аглия;ЖЕН.;28
20126;Агля;ЖЕН.;6
20128;Агнастасия;ЖЕН.;6
20129;Агне;ЖЕН.;73
20130;Агневна;ЖЕН.;1
20131;Агнежка;ЖЕН.;21
20132;Агнезия;ЖЕН.;1
20133;Агнейта;ЖЕН.;1
20135;Агнелия;ЖЕН.;10
20136;Агнес;ЖЕН.;476
20137;Агнеса;ЖЕН.;907
20138;Агнесия;ЖЕН.;28
20139;Агнеска;ЖЕН.;36
20140;Агнесс;ЖЕН.;157
20141;Агнесса;ЖЕН.;5000
20142;Агнессия;ЖЕН.;8
20143;Агнеста;ЖЕН.;2
20144;Агнет;ЖЕН.;66
20145;Агнета;ЖЕН.;261
20146;Агнетта;ЖЕН.;92
20147;Агнеш;ЖЕН.;14
20148;Агнеша;ЖЕН.;83
20149;Агнешка;ЖЕН.;564
20151;Агнийка;ЖЕН.;1
20154;Агнита;ЖЕН.;3
20155;Агнишка;ЖЕН.;1
20156;Агния;ЖЕН.;7000
20158;Агнория;ЖЕН.;1
20162;Агомогла;ЖЕН.;1
20164;Агонина;ЖЕН.;24
20165;Агорпина;ЖЕН.;1
20167;Агота;ЖЕН.;6
20168;Аготта;ЖЕН.;3
20170;Агофья;ЖЕН.;1
20171;Аградина;ЖЕН.;2
20172;Аграпина;ЖЕН.;3
20173;Аграппина;ЖЕН.;1
20174;Агратина;ЖЕН.;53
20175;Аграфена;ЖЕН.;2000
20176;Аграфения;ЖЕН.;2
20177;Аграфина;ЖЕН.;14
20179;Аграфинья;ЖЕН.;2
20180;Аграфия;ЖЕН.;1
20181;Аграфья;ЖЕН.;2
20183;Агренина;ЖЕН.;42
20184;Агрепена;ЖЕН.;1
20185;Агрепина;ЖЕН.;158
20187;Агреппина;ЖЕН.;31
20188;Агрерина;ЖЕН.;2
20189;Агретина;ЖЕН.;2
20190;Агрефена;ЖЕН.;10
20191;Агрефина;ЖЕН.;2
20194;Агриколь;ЖЕН.;245
20198;Агрипена;ЖЕН.;2
20199;Агрипигина;ЖЕН.;1
20200;Агрипина;ЖЕН.;406
20201;Агрипиния;ЖЕН.;2
20202;Агрипинна;ЖЕН.;4
20203;Агриппина;ЖЕН.;2000
20204;Агриса;ЖЕН.;1
20205;Агрифена;ЖЕН.;4
20206;Агрифина;ЖЕН.;7
20208;Агропина;ЖЕН.;2
20210;Агроппина;ЖЕН.;2
20211;Агрофена;ЖЕН.;75
20212;Агрофения;ЖЕН.;1
20213;Агрофина;ЖЕН.;8
